Temperature,Humidity,Rainfall,Soil_pH,N,P,K,Crop,Disease
35.6,40.6,89.4,5.68,53,21,28,Cotton,Bacterial Blight
35.9,48.5,86.4,6.45,84,40,42,Rice,Bacterial Leaf Blight
27.2,62.8,145.6,6.01,111,60,22,Maize,Downy Mildew
24,74.7,40.7,7.26,106,35,44,Potato,Late Blight
32.3,85.9,115.8,6.59,117,56,55,Tomato,Late Blight
24.9,44.3,262,6.38,64,24,35,Wheat,Rust
24.3,68.4,114,6.65,61,54,41,Rice,Sheath Blight
28.3,44.4,138.4,6.85,65,39,29,Cotton,Root Rot
38.3,81.7,163.1,6.73,69,22,27,Tomato,Late Blight
39.5,50.2,88.3,6.35,87,42,25,Rice,Sheath Blight
24,59.4,211.8,7.05,52,20,23,Chili,Leaf Spot
25.2,81.4,25.7,7.3,114,46,35,Wheat,Powdery Mildew
30.2,75,157.7,7.09,57,46,58,Cotton,Leaf Curl
31.9,80.7,287,6.7,100,52,41,Rice,Bacterial Leaf Blight
20.8,56.9,295.1,5.76,78,38,25,Cotton,Root Rot
29.7,42.5,152.5,6.91,55,28,21,Wheat,Rust
30.9,50.1,79.5,6.25,74,51,35,Tomato,Septoria Leaf Spot
29.7,79.4,58.1,5.74,89,50,29,Wheat,Karnal Bunt
21.8,46.3,185.2,7.16,116,47,47,Cotton,Bacterial Blight
23,70.4,258,6.74,118,27,53,Tomato,Late Blight
21.1,80.9,298.9,7.49,82,32,23,Tomato,Septoria Leaf Spot
21.4,78.7,182.7,7.33,103,28,43,Rice,Leaf Blast
36.2,49,90,6.2,50,55,27,Potato,Early Blight
25.2,55.2,234.3,5.57,116,59,36,Chili,Leaf Spot
39.3,56.8,117.8,6.58,68,27,40,Maize,Turcicum Leaf Blight
29.2,62.2,105.5,6.29,54,34,44,Rice,Bacterial Leaf Blight
37.1,54.1,143.5,5.54,90,47,34,Potato,Black Scurf
21.6,60.2,50.6,5.72,105,39,24,Chili,Powdery Mildew
37.2,86.6,53.8,5.53,66,51,32,Maize,Turcicum Leaf Blight
33.7,49.5,11,5.76,58,54,57,Chili,Anthracnose
31.5,40.6,127.2,7.14,73,38,23,Maize,Downy Mildew
37.6,68.6,82.2,6.19,61,55,30,Cotton,Root Rot
37.2,54.8,124.9,6.57,96,52,36,Tomato,Early Blight
34.3,71.1,240.9,6.51,108,54,31,Wheat,Rust
22.5,74.8,67.7,6.45,58,45,30,Tomato,Late Blight
34.5,58.5,132.3,6.54,91,45,29,Chili,Powdery Mildew
23.8,54.2,240.9,6.44,106,32,26,Wheat,Powdery Mildew
21.9,40.9,237.3,5.9,110,25,39,Wheat,Powdery Mildew
37.9,82.2,138.4,6.06,107,20,47,Cotton,Root Rot
28.8,83.5,293.6,6.55,103,40,22,Chili,Anthracnose
24.5,58.9,41.7,6.66,81,31,28,Wheat,Karnal Bunt
21.4,79.7,107.7,6.01,88,49,56,Cotton,Root Rot
34.3,41,161,7.02,51,50,20,Maize,Common Rust
31.9,66.2,125.3,6.73,87,57,46,Cotton,Bacterial Blight
32.5,44.1,31.1,7.34,111,43,21,Wheat,Powdery Mildew
22.8,46.9,279.3,5.79,88,30,22,Cotton,Root Rot
27.1,55.1,37.8,6.66,79,29,55,Maize,Turcicum Leaf Blight
28,43.9,220.5,6.1,82,30,56,Rice,Sheath Blight
29.1,42.4,214.6,6.54,84,29,28,Wheat,Karnal Bunt
30.4,65.1,29.5,7.46,97,46,26,Tomato,Septoria Leaf Spot
35.4,80.6,289.1,6.11,112,47,45,Chili,Powdery Mildew
27.1,87.8,179.3,7.08,89,47,22,Tomato,Late Blight
31.4,61.4,254.3,5.98,119,54,47,Potato,Early Blight
33.4,88.2,121.2,5.79,91,43,26,Rice,Sheath Blight
30.9,56.9,174.7,5.92,55,54,25,Chili,Anthracnose
21,71.3,236,6.53,70,39,28,Wheat,Powdery Mildew
36.1,67.4,275.3,6.56,72,43,33,Rice,Bacterial Leaf Blight
39.1,42.2,197.8,6.63,100,46,56,Wheat,Rust
38.7,52.4,39.3,6.87,112,48,50,Tomato,Late Blight
33.3,65.5,48.2,5.55,50,48,48,Rice,Bacterial Leaf Blight
37.9,51.7,237,6.89,56,55,35,Cotton,Root Rot
38.8,52.2,46.9,5.99,64,30,31,Maize,Turcicum Leaf Blight
29.4,44,143.8,6.52,105,29,41,Maize,Turcicum Leaf Blight
27.9,76,61.8,7.06,73,57,32,Chili,Powdery Mildew
23.2,64.1,240.6,6.87,53,41,35,Cotton,Leaf Curl
22.6,63.6,290.3,5.91,115,37,48,Maize,Downy Mildew
26.9,52.4,170.9,7.22,115,49,59,Chili,Leaf Spot
25.1,55.3,291.8,6.16,94,22,45,Potato,Early Blight
35.2,78.5,160.3,6.91,85,59,53,Tomato,Late Blight
22.5,51.2,257.7,6.12,91,30,55,Maize,Downy Mildew
35.5,43.5,17.4,6.79,84,32,59,Potato,Black Scurf
37,82.7,233.1,7.19,94,31,47,Cotton,Root Rot
25.1,67.3,180.4,6.28,85,43,28,Tomato,Septoria Leaf Spot
23.8,61.8,283.1,5.72,61,26,34,Wheat,Rust
35.5,81.2,166.4,6.57,79,58,38,Cotton,Root Rot
24.6,88.4,269.4,6.17,79,36,29,Maize,Common Rust
35.8,40.5,272.2,7.06,57,21,32,Maize,Common Rust
21,78.2,121.2,5.59,61,56,34,Tomato,Early Blight
28.4,79.3,218.6,6.1,72,51,41,Maize,Common Rust
32.3,56.9,158,7.05,58,24,38,Rice,Leaf Blast
20.9,89.8,291.3,5.71,92,20,34,Maize,Turcicum Leaf Blight
29.8,81.6,101.4,6.04,70,26,23,Rice,Leaf Blast
20.1,82.2,179.9,7.13,79,29,50,Potato,Early Blight
26.2,77,197.9,6.67,109,29,27,Cotton,Leaf Curl
26.2,78.8,38.9,5.87,119,60,22,Maize,Downy Mildew
34.5,66,211.8,5.7,120,58,35,Rice,Sheath Blight
39.1,79,77.5,5.81,98,27,46,Rice,Sheath Blight
38.2,67.5,134.6,6.1,78,34,59,Cotton,Root Rot
24.9,90,189.7,7.34,66,60,60,Wheat,Powdery Mildew
22.3,88.4,97.2,6.86,51,32,28,Maize,Common Rust
28.6,45.7,223.4,6.2,63,53,54,Cotton,Bacterial Blight
27.2,81.7,147.8,6.28,83,25,26,Tomato,Late Blight
24.1,80.7,165.5,6.51,72,29,40,Maize,Common Rust
24.7,55.2,200.7,5.92,68,20,44,Chili,Powdery Mildew
25.1,40.5,228.4,6.94,99,49,27,Chili,Leaf Spot
26.8,89.7,213.8,7.17,93,41,21,Cotton,Leaf Curl
35.4,82.6,186.9,6.29,55,51,25,Rice,Leaf Blast
23.9,85.8,287.9,5.57,51,26,40,Rice,Sheath Blight
30.5,84.4,128.3,7.31,70,49,47,Chili,Anthracnose
37.4,53.7,183.3,7.06,88,50,52,Cotton,Root Rot
39.5,74.6,49.8,7.36,64,47,28,Wheat,Karnal Bunt
37.6,49.1,131.2,7.04,56,24,30,Cotton,Leaf Curl
21.6,55.9,259.2,5.52,85,42,28,Wheat,Rust
39.7,51.2,62.4,6.58,83,34,26,Chili,Leaf Spot
37.4,59.1,63.2,7.28,109,35,58,Rice,Bacterial Leaf Blight
39.9,71.2,147.6,6.9,114,25,59,Potato,Black Scurf
20.8,56.6,126.5,7.23,58,55,48,Rice,Leaf Blast
38.6,62.4,298.9,6.71,74,46,21,Chili,Leaf Spot
33.3,44,218.9,6.87,52,43,56,Wheat,Karnal Bunt
30.2,78.3,49.7,6.08,83,23,37,Chili,Leaf Spot
30.9,73.3,296.7,5.64,99,47,60,Maize,Common Rust
34.6,74.7,27,7.44,100,29,34,Wheat,Karnal Bunt
34.2,46.5,78.1,5.62,64,27,42,Chili,Powdery Mildew
24.4,50.1,283.6,7.15,97,21,49,Tomato,Septoria Leaf Spot
33,56.7,294.6,7.05,82,35,27,Cotton,Leaf Curl
26.2,59.5,145.8,6.68,73,42,38,Chili,Leaf Spot
28.3,85.3,226.1,6.34,116,37,52,Cotton,Root Rot
20.2,47.4,31.3,6.97,60,22,44,Cotton,Root Rot
37.4,48.7,59.8,5.75,91,33,27,Cotton,Bacterial Blight
39.5,88.6,155.6,5.61,104,30,58,Rice,Sheath Blight
35.9,57.9,215.9,5.91,87,58,23,Potato,Black Scurf
30.2,45.8,138,5.73,107,41,34,Tomato,Early Blight
21.7,69.3,150.8,7.01,117,25,24,Wheat,Karnal Bunt
32.2,69.8,196.3,6.06,61,22,21,Maize,Common Rust
39.4,86.8,58.9,6.93,120,24,58,Rice,Bacterial Leaf Blight
24.6,56.6,37.7,6.82,71,52,51,Tomato,Late Blight
30,59.9,146.7,6.51,111,54,25,Maize,Turcicum Leaf Blight
37.6,78.2,207.2,5.84,109,44,59,Chili,Powdery Mildew
29.6,61.3,232,5.83,101,29,40,Chili,Anthracnose
31.1,43.3,282.4,6.64,61,53,47,Tomato,Late Blight
36.4,46.2,206,5.88,84,43,48,Wheat,Powdery Mildew
33.2,45.6,93.5,6.57,103,31,47,Chili,Leaf Spot
24.3,57.6,10.7,6.97,94,38,25,Chili,Powdery Mildew
33.3,55.4,225,5.92,102,57,55,Rice,Bacterial Leaf Blight
27.1,75.8,292.9,6.96,100,28,43,Tomato,Septoria Leaf Spot
21.1,41.7,70.9,6.28,94,23,44,Tomato,Late Blight
25.6,77.8,253.5,7.03,92,28,52,Wheat,Karnal Bunt
39.1,56.1,124.7,6.14,81,41,36,Maize,Common Rust
27.8,77.8,153.2,5.78,119,49,37,Maize,Downy Mildew
24.9,84.7,155.7,7.44,100,44,26,Tomato,Early Blight
24.1,41.3,157.8,7.14,73,21,29,Maize,Turcicum Leaf Blight
22.6,88.2,160.3,6.89,83,30,24,Tomato,Late Blight
25.5,64,136.2,5.96,66,28,24,Maize,Downy Mildew
31.6,61.7,237,6.9,62,48,22,Wheat,Rust
36.6,48.8,34.7,7.14,86,44,27,Rice,Sheath Blight
31.5,64.6,218,6.9,104,57,28,Tomato,Late Blight
39.2,89.7,119.6,7.39,95,25,49,Cotton,Bacterial Blight
21.3,49.6,19.8,6.57,53,26,58,Maize,Common Rust
20,72,105.7,6.02,63,29,47,Maize,Downy Mildew
36.1,80.6,23.2,6.77,58,60,46,Maize,Turcicum Leaf Blight
22.7,83.6,130,5.73,83,26,55,Cotton,Bacterial Blight
30.6,88.2,60.9,7.04,88,59,54,Tomato,Septoria Leaf Spot
34.2,63.1,239.6,6.05,69,26,20,Maize,Downy Mildew
21.8,79.3,125.1,7.3,59,51,56,Tomato,Septoria Leaf Spot
28.1,59.3,117,7.14,115,22,39,Cotton,Leaf Curl
27.8,72.6,36.4,7.07,104,57,20,Rice,Bacterial Leaf Blight
24.3,59.2,166.1,6.73,58,42,60,Chili,Anthracnose
26.4,72.2,125.9,6.51,119,24,35,Tomato,Early Blight
20.8,50.9,222.2,5.96,59,26,32,Chili,Leaf Spot
29.5,47,83.4,6.08,111,35,47,Cotton,Leaf Curl
27.8,71.9,284.3,7.43,117,24,21,Rice,Leaf Blast
38.3,88.9,213.6,6.84,119,28,24,Chili,Leaf Spot
21.3,79.7,72.1,6.45,114,48,44,Tomato,Early Blight
24.1,43.9,23.3,7.25,61,45,57,Maize,Turcicum Leaf Blight
20.8,65,201.8,6.42,64,23,40,Potato,Late Blight
32.1,82.8,260,5.54,94,36,26,Tomato,Septoria Leaf Spot
23.1,44.3,299.1,5.83,68,58,35,Wheat,Karnal Bunt
40,63.8,93.4,5.57,103,34,53,Maize,Downy Mildew
29.3,45.4,152.8,5.8,99,33,56,Chili,Powdery Mildew
36.8,87.9,292.1,5.51,58,42,55,Potato,Early Blight
38.4,72.5,160.4,7.36,81,52,46,Cotton,Leaf Curl
35.6,88.1,152.7,5.78,62,46,24,Chili,Powdery Mildew
30.8,69.2,140.5,7.3,115,55,47,Tomato,Early Blight
32.3,74.5,194.4,7.48,117,58,33,Potato,Early Blight
30.3,45.8,15.1,6.02,90,55,38,Rice,Sheath Blight
37.9,76.7,155.8,5.85,73,59,53,Potato,Black Scurf
29.8,56.4,65.2,6.87,51,22,60,Wheat,Rust
31.7,75.9,243.8,6.35,103,41,41,Potato,Early Blight
25.3,86.5,155.5,6.61,92,46,45,Wheat,Karnal Bunt
20.7,50.7,281.8,7.4,75,54,24,Maize,Turcicum Leaf Blight
34.7,88.8,86.3,7.14,107,21,58,Tomato,Early Blight
38,54.7,76.4,5.83,112,30,32,Chili,Powdery Mildew
21,52.7,106.5,6.45,88,23,44,Wheat,Powdery Mildew
23.5,64.5,195.1,7.23,60,20,35,Rice,Bacterial Leaf Blight
22,59.2,232.2,7.07,86,56,50,Chili,Leaf Spot
23.1,59.8,154.9,7.36,70,23,47,Tomato,Late Blight
24.2,43.8,112.1,7.21,60,49,23,Tomato,Late Blight
39.9,59.3,283.3,6.47,61,53,28,Wheat,Rust
33.3,57.4,138.5,6.3,104,57,24,Chili,Powdery Mildew
35.4,73.9,45.5,7.16,90,40,54,Potato,Late Blight
29.9,44.6,76.6,6.07,70,40,27,Maize,Downy Mildew
22.1,88.7,280.4,5.65,101,40,46,Maize,Downy Mildew
27.2,63.5,253.9,6.2,55,60,36,Tomato,Late Blight
35.6,78.9,40.7,7.26,65,28,20,Cotton,Leaf Curl
25.1,79.9,80.7,5.69,59,60,53,Potato,Late Blight
38.6,76,121.4,5.88,58,45,35,Tomato,Septoria Leaf Spot
30.8,45.7,289.9,7.04,69,30,60,Rice,Leaf Blast
26.9,70.1,28.4,6.33,120,32,20,Wheat,Karnal Bunt
38.4,86.6,75.4,6.5,50,59,31,Chili,Powdery Mildew
39.2,40.1,237.2,5.85,73,50,45,Tomato,Late Blight
27.9,53.3,280,6.89,117,27,28,Potato,Black Scurf
32.9,61,186.7,5.95,80,33,20,Rice,Bacterial Leaf Blight
26.3,78.2,174.3,6.59,116,60,27,Potato,Black Scurf
35.1,84.4,229.1,6.96,55,42,49,Wheat,Rust
22.3,45.5,81.8,6.78,55,56,25,Potato,Early Blight
26.6,88.9,156,7.4,106,32,47,Tomato,Early Blight
32.1,60.1,28.7,6.1,63,47,52,Wheat,Karnal Bunt
28.6,79,201.1,6.56,54,47,50,Rice,Leaf Blast
20.9,54.4,144.5,5.95,65,38,60,Cotton,Leaf Curl
31.6,49.1,241.2,6.35,109,32,47,Wheat,Rust
28.5,61.6,119.2,5.78,94,31,55,Chili,Powdery Mildew
25.3,48,261.3,7.15,50,36,27,Cotton,Root Rot
34.6,86.6,60.9,7.25,85,29,51,Tomato,Early Blight
29.8,54.7,245.9,6.48,88,38,50,Rice,Bacterial Leaf Blight
29.8,65.5,290.5,6.97,74,50,20,Maize,Common Rust
30.2,88.5,82.8,6.51,52,28,25,Rice,Leaf Blast
35.3,65.5,292.5,6.21,55,54,50,Wheat,Powdery Mildew
22.1,49.7,234.3,6.47,74,44,27,Wheat,Powdery Mildew
31.7,70.1,145.6,7.08,88,52,49,Chili,Powdery Mildew
27.9,63.9,168.6,6.29,119,35,25,Tomato,Early Blight
36.7,41.8,203.2,5.61,78,28,53,Chili,Leaf Spot
21.8,79.8,86.1,6.41,119,57,43,Tomato,Early Blight
36,76.9,274,5.96,59,37,44,Rice,Bacterial Leaf Blight
29.9,84.3,15,6.27,98,39,57,Cotton,Leaf Curl
31.8,76.7,77.9,7.17,112,40,56,Wheat,Karnal Bunt
29,69.9,17,7.38,71,59,21,Rice,Sheath Blight
26,71,93.3,7.36,69,60,35,Chili,Anthracnose
36.8,84.6,140.9,5.74,119,45,49,Potato,Black Scurf
25.8,80.9,114.7,6.28,79,41,39,Rice,Sheath Blight
29.7,56.9,266.4,7.17,104,29,38,Potato,Black Scurf
25.3,44.8,162.7,7.4,66,34,54,Wheat,Karnal Bunt
25.9,86.5,162.8,5.8,50,29,24,Tomato,Late Blight
37.7,62.4,36.7,6.59,100,48,28,Wheat,Rust
28,65.6,220,6.87,101,27,46,Cotton,Bacterial Blight
22.4,68.7,244.3,6.41,69,45,58,Chili,Leaf Spot
31.6,73.2,69.2,6.43,51,52,34,Potato,Early Blight
26.6,84.6,299,6.73,106,50,24,Wheat,Rust
32.5,48,276,6.48,80,54,56,Potato,Early Blight
31.3,59.3,30.2,6.62,55,48,24,Tomato,Late Blight
34.5,87.2,120.9,6.06,51,43,28,Wheat,Rust
29.7,78.2,115.7,6.39,55,25,41,Rice,Sheath Blight
21.6,70.8,203.8,5.95,64,25,28,Chili,Powdery Mildew
27.9,49.8,160.8,6.82,77,22,29,Chili,Leaf Spot
22.9,72.2,32.1,7.2,110,38,38,Chili,Anthracnose
39.6,74.5,207,6.51,54,48,21,Chili,Powdery Mildew
39.2,51.7,74.3,7.12,103,45,49,Rice,Bacterial Leaf Blight
37.6,42.8,109.2,6.38,85,26,26,Chili,Anthracnose
38.5,68.7,263.5,6.09,96,43,46,Wheat,Powdery Mildew
36,41.9,246.6,5.96,78,33,55,Potato,Late Blight
28.5,62.3,35.2,6.84,110,38,54,Maize,Turcicum Leaf Blight
30.4,59.8,180.9,6,63,28,32,Rice,Leaf Blast
39.7,60.4,155.9,6.35,111,44,29,Maize,Downy Mildew
39.5,54.6,236.3,6.61,117,49,33,Maize,Turcicum Leaf Blight
35.8,75.3,235.9,6.4,99,41,28,Maize,Turcicum Leaf Blight
22.7,74.6,133.1,6.89,106,36,33,Wheat,Karnal Bunt
28.5,66.4,233.3,5.73,84,34,28,Rice,Brown Spot
31.1,68.5,200.6,6.72,82,39,25,Cotton,Leaf Spot
32,49.1,248.3,6.59,82,54,39,Cotton,Bacterial Blight
36.9,87.4,156.5,7.02,117,53,28,Maize,Turcicum Leaf Blight
18.1,74.6,166.2,6.27,78,25,45,Potato,Late Blight
31.6,87.7,290.6,6.41,107,29,43,Chili,Leaf Spot
24.5,82.3,167.9,6.93,88,46,45,Apple,Cedar Apple Rust
37.1,73.4,236.3,6.29,95,47,35,Rice,Bacterial Leaf Blight
31.5,63.8,212.2,5.74,79,29,30,Rice,Brown Spot
23,63.5,131.5,6.53,98,35,48,Wheat,Powdery Mildew
20.3,73.6,151.7,6.14,78,35,52,Apple,Apple Scab
21,83.7,168.5,5.92,110,32,43,Wheat,Septoria Leaf Spot
20.5,63.2,158.5,6.18,74,59,29,Potato,Early Blight
18.1,71.1,170,6.34,112,31,39,Wheat,Septoria Leaf Spot
24.5,83.3,189.8,6.62,90,48,38,Apple,Cedar Apple Rust
26.7,74.5,156.1,6.26,98,51,28,Tomato,Early Blight
24.7,67.6,156.9,6.43,99,54,35,Tomato,Early Blight
18.1,76,182,6.3,108,37,33,Wheat,Septoria Leaf Spot
22.9,60.9,156.3,5.91,63,63,34,Potato,Early Blight
27.3,67.5,146.4,6.34,80,45,32,Tomato,Early Blight
25.4,83.2,186.6,5.99,97,39,28,Maize,Common Rust
33.8,68.8,228.3,5.9,88,37,28,Rice,Brown Spot
22.9,60,143.3,6.92,96,40,48,Wheat,Powdery Mildew
22.1,63.8,150.4,5.89,83,61,25,Potato,Early Blight
24,76.7,187,6.6,75,49,49,Apple,Cedar Apple Rust
29.8,70.7,197.8,6.37,86,44,26,Cotton,Leaf Spot
28.8,76.2,163.8,6.51,92,30,35,Chili,Powdery Mildew
36.3,74.1,240.3,6.47,96,46,39,Rice,Bacterial Leaf Blight
23.8,72.3,173.2,6.28,75,29,49,Potato,Late Blight
28.2,74.5,161.6,6.29,94,48,49,Tomato,Bacterial Spot
31.8,83.8,250.5,6.14,97,26,35,Chili,Leaf Spot
20.7,60.1,140.5,6.04,69,56,34,Potato,Early Blight
28.3,81,185.9,6.1,93,34,29,Maize,Common Rust
20,73.7,199.5,6.11,109,35,33,Wheat,Septoria Leaf Spot
28.6,68.5,166.5,6.68,91,49,37,Tomato,Bacterial Spot
18.1,78,174.2,6.11,77,46,45,Apple,Cedar Apple Rust
21.1,89.1,168.5,5.83,87,32,30,Tomato,Late Blight
25.5,55.9,122.5,7.92,59,47,32,Potato,Common Scab
27,63.1,128.3,6.14,94,54,37,Tomato,Early Blight
32.9,50,265.8,6.66,98,44,38,Rice,Leaf Blast
21.3,81.8,170.6,6.09,88,38,30,Tomato,Late Blight
20.1,68.6,172.3,6.14,87,26,46,Potato,Late Blight
33.4,53,182.5,6.64,110,62,22,Chili,Anthracnose
28.9,68.9,235.6,5.61,72,39,28,Rice,Brown Spot
25.4,68,156.2,6.49,95,44,30,Chili,Powdery Mildew
20.7,81.4,168.2,6.37,95,31,41,Wheat,Septoria Leaf Spot
23.9,74,186.9,5.84,97,25,44,Wheat,Septoria Leaf Spot
36.8,91.1,133.5,6.92,124,44,20,Maize,Turcicum Leaf Blight
26.6,75.5,133.1,7.09,96,50,47,Apple,Fire Blight
24.7,62.2,124.1,6.31,82,57,39,Tomato,Early Blight
37.9,44,243.7,6.68,69,56,36,Cotton,Bacterial Blight
23.2,61.9,141.9,6.62,94,34,36,Wheat,Leaf Rust
22,76.9,177.5,6.12,80,22,49,Potato,Late Blight
20,61.6,146.5,6.08,76,53,32,Potato,Early Blight
29.5,72.6,186.9,6.17,104,31,27,Maize,Common Rust
18.5,77.1,160.4,5.87,111,36,43,Wheat,Septoria Leaf Spot
23.5,80.1,198.4,5.89,79,35,49,Apple,Apple Scab
34,86.6,199.1,6.25,105,44,24,Maize,Gray Leaf Spot
34.9,80.7,266.3,6.66,98,48,37,Rice,Bacterial Leaf Blight
23.3,52.4,143.3,7.81,65,48,39,Potato,Common Scab
21.9,77.1,173.5,6.69,91,54,44,Apple,Cedar Apple Rust
26.3,53.8,115,6.93,54,55,35,Potato,Common Scab
35.6,79.5,271.9,6.03,102,46,46,Rice,Bacterial Leaf Blight
30.6,68.7,141.7,6.32,89,40,45,Tomato,Bacterial Spot
25.2,50.1,102.9,7.11,56,53,39,Potato,Common Scab
22.1,48.7,108.6,6.91,54,41,36,Potato,Common Scab
24.7,69.5,157.4,5.95,60,63,29,Potato,Early Blight
23.3,71.1,156.4,6.33,87,31,47,Potato,Late Blight
31.1,49.3,212.1,6.39,61,56,39,Cotton,Bacterial Blight
32.7,47.7,288.1,6.14,85,36,34,Rice,Leaf Blast
19,77.7,165,6.12,90,47,44,Apple,Cedar Apple Rust
27.1,65.1,164.8,6.07,100,46,36,Wheat,Leaf Rust
27.3,61.1,133.3,6.01,94,54,25,Tomato,Early Blight
23.1,59.8,118.2,7.53,52,49,30,Potato,Common Scab
33.3,46.5,287.3,6.3,87,38,37,Rice,Leaf Blast
21.1,63.1,127.5,6.56,90,43,47,Wheat,Powdery Mildew
21.5,76.8,180.7,5.81,103,35,36,Wheat,Septoria Leaf Spot
21.4,78.6,182.3,6.52,82,26,47,Potato,Late Blight
28.1,72.1,210.6,5.92,76,33,28,Rice,Brown Spot
26.8,54.2,122.3,7.12,58,50,40,Potato,Common Scab
34.9,72.5,275.7,6.45,104,40,35,Rice,Bacterial Leaf Blight
27,66.4,151.2,6.39,104,50,41,Tomato,Bacterial Spot
35.1,52.2,253.9,6.35,92,32,39,Rice,Leaf Blast
18.9,78.4,183.1,6.11,79,40,49,Apple,Cedar Apple Rust
27.3,77.9,174.5,6.74,110,45,26,Maize,Common Rust
30.4,71.7,212.4,6.36,92,29,30,Rice,Brown Spot
31.3,85.9,267.9,6.45,96,34,41,Chili,Leaf Spot
34,93.3,148.5,7.08,110,48,26,Maize,Turcicum Leaf Blight
30.7,68,212.1,5.61,86,30,28,Rice,Brown Spot
16.9,89.3,197.9,5.98,72,41,40,Apple,Apple Scab
30,89.8,291.6,6.46,100,32,37,Chili,Leaf Spot
30.6,70.3,151.6,6.87,95,62,36,Tomato,Early Blight
21.5,75.4,166.6,6.2,111,34,35,Wheat,Septoria Leaf Spot
22.2,80.2,198.2,6.04,86,31,33,Tomato,Late Blight
25.7,65.3,122.1,6.06,83,57,25,Tomato,Early Blight
19,80.1,194.8,5.73,81,36,42,Tomato,Late Blight
30.2,50.1,182.3,6.7,113,57,18,Chili,Anthracnose
22.3,75,135.7,7.24,92,59,58,Apple,Fire Blight
24.7,67,147.1,5.84,75,64,26,Potato,Early Blight
32.7,45.5,198.6,6.53,112,60,16,Chili,Anthracnose
34.4,89.6,233.6,6.61,98,36,42,Rice,Bacterial Leaf Blight
33.7,75.9,185.7,6.34,97,48,19,Maize,Gray Leaf Spot
35.7,80.6,225.5,6.45,109,47,48,Rice,Bacterial Leaf Blight
27.2,72.2,150.1,6.41,93,56,29,Tomato,Early Blight
22.5,67.4,175.8,6.44,75,32,41,Potato,Late Blight
28.1,72.8,150.3,6.7,99,39,30,Chili,Powdery Mildew
24.3,65,127.2,6.42,98,36,40,Wheat,Powdery Mildew
24.7,77.3,174.6,6.98,91,50,37,Apple,Cedar Apple Rust
32.9,84.8,187,6.16,96,43,29,Maize,Gray Leaf Spot
